Q_TABLE (Alpha=0.1, Gamma=0.99)
S[00]: 322.314709, 236.072145
S[01]: 85.046889, 175.516123
S[02]: 82.750387, 34.265421
S[03]: 61.238078, -37.116075
S[04]: 45.670993, -95.211155
S[05]: -31.742735, -44.758645
S[06]: 97.961358, -116.634087
S[07]: -12.982720, -113.302021
S[08]: -25.161395, -376.640808
S[09]: 111.526909, -1.138611
S[10]: -9.926038, -20.217024
S[11]: -8.946288, -15.016718
S[12]: 88.085823, -30.611095
S[13]: -12.103497, -44.534459
S[14]: -19.498904, -39.049833
S[15]: -29.435165, -309.490171
S[16]: -25.064868, -336.962719
S[17]: -25.302786, -360.643415
S[18]: 29.639829, 370.823852
S[19]: 0.000000, 0.000000
S[20]: 0.000000, 0.000000
S[21]: 60.237256, -31.000437
S[22]: 5.431040, -2.220826
S[23]: 0.000000, 0.000000
S[24]: 29.384359, -14.839628
S[25]: -0.682988, 0.000000
S[26]: 0.000000, 0.000000
S[27]: 208.229428, -7.954326
S[28]: -0.052194, -12.678782
S[29]: 0.000000, 0.000000
S[30]: 275.138778, -35.930764
S[31]: -8.321668, -9.777508
S[32]: 0.000000, 0.000000
S[33]: 59.570572, -48.475738
S[34]: 1.012525, 0.000000
S[35]: 0.000000, 0.000000
